County,State,Date,Year,Month,Period Begin,Period End,Homes Sold,Homes Sold with Price Drop,Homes Sold with Price Drop (%),Median Sale Price,Median Sales Price per Sqft,Price Drops,Listings with Price Drop (%),New Listings,Median New List Price,Median New Listing Price per Sqft,Inventory,Active Listings,Age of Inventory,Median List Price,Median List Price per Sqft,Average Offer to List,Average Sale to List Ratio,Median Days on Market,Months of Supply,Price Drops of Inventory (%),Homes Sold Above List (%)
Mecklenburg County, NC,2017-07-01,2017,July,2017-07-24 00:00:00,2017-07-30,524,137,26.15%,257000.0,120.38,264,3.88%,514,249500.0,$126.33,6244,6800,49.0,"$298,250.00",$128.77,0.98,0.99,56.0,12.98,4.23%,25.95%
Mecklenburg County, NC,2017-07-01,2017,July,2017-07-31 00:00:00,2017-08-06,472,113,23.94%,235000.0,115.73,256,3.80%,507,250000.0,$120.64,6196,6733,47.0,"$297,700.00",$128.77,0.99,0.99,53.5,14.26,4.13%,29.87%
Mecklenburg County, NC,2017-08-01,2017,August,2017-08-07 00:00:00,2017-08-13,392,87,22.19%,225500.0,119.08,199,3.00%,448,223950.0,$116.99,6193,6636,48.0,"$295,500.00",$128.70,0.97,0.99,49.0,16.93,3.21%,32.65%
Mecklenburg County, NC,2017-08-01,2017,August,2017-08-14 00:00:00,2017-08-20,405,82,20.25%,237900.0,118.42,237,3.56%,473,255000.0,$126.60,6212,6653,50.0,"$295,700.00",$128.87,0.96,0.99,53.5,16.43,3.82%,29.38%
Mecklenburg County, NC,2017-08-01,2017,August,2017-08-21 00:00:00,2017-08-27,422,102,24.17%,233250.0,120.04,220,3.30%,456,246950.0,$122.48,6193,6662,50.0,"$297,500.00",$128.99,1.00,0.99,54.0,15.79,3.55%,27.49%
Mecklenburg County, NC,2017-08-01,2017,August,2017-08-28 00:00:00,2017-09-03,584,124,21.23%,236750.0,119.51,223,3.34%,484,240000.0,$119.68,6010,6668,51.0,"$299,000.00",$128.79,0.96,0.99,52.0,11.42,3.71%,30.31%
Mecklenburg County, NC,2017-09-01,2017,September,2017-09-11 00:00:00,2017-09-17,409,102,24.94%,240500.0,118.52,217,3.33%,463,259900.0,$133.03,6067,6523,52.0,"$299,900.00",$131.08,0.98,0.99,55.0,15.95,3.58%,24.21%
Mecklenburg County, NC,2017-09-01,2017,September,2017-09-18 00:00:00,2017-09-24,373,90,24.13%,235000.0,118.02,262,4.05%,413,249900.0,$126.16,6059,6474,54.0,"$300,000.00",$131.54,0.97,0.99,57.0,17.36,4.32%,27.61%
Mecklenburg County, NC,2017-09-01,2017,September,2017-09-25 00:00:00,2017-10-01,636,141,22.17%,228047.0,114.73,238,3.65%,462,239900.0,$130.27,5837,6517,53.0,"$299,994.50",$132.19,0.94,0.99,61.0,10.25,4.08%,25.79%
Mecklenburg County, NC,2017-10-01,2017,October,2017-10-02 00:00:00,2017-10-08,322,89,27.64%,236250.0,118.74,230,3.68%,430,240000.0,$123.55,5887,6251,53.0,"$300,000.00",$133.26,0.94,0.99,56.5,19.41,3.91%,27.95%
Mecklenburg County, NC,2017-10-01,2017,October,2017-10-09 00:00:00,2017-10-15,319,87,27.27%,225000.0,117.89,209,3.34%,385,260000.0,$126.35,5904,6265,55.0,"$304,263.00",$133.42,0.93,0.99,57.0,19.64,3.54%,24.14%
Mecklenburg County, NC,2017-10-01,2017,October,2017-10-16 00:00:00,2017-10-22,403,98,24.32%,225000.0,120.56,212,3.37%,393,250000.0,$130.73,5820,6284,55.0,"$305,000.00",$134.17,0.95,0.99,59.0,15.59,3.64%,30.02%
Mecklenburg County, NC,2017-10-01,2017,October,2017-10-23 00:00:00,2017-10-29,417,113,27.10%,234000.0,123.10,242,3.93%,348,245000.0,$126.32,5694,6164,58.0,"$308,950.00",$134.61,0.97,0.99,62.0,14.78,4.25%,26.38%
Mecklenburg County, NC,2017-11-01,2017,November,2017-11-13 00:00:00,2017-11-19,462,131,28.35%,245000.0,125.58,202,3.41%,352,237500.0,$124.61,5416,5930,58.0,"$300,000.00",$134.17,0.90,0.98,61.0,12.84,3.73%,23.81%
Mecklenburg County, NC,2017-11-01,2017,November,2017-11-27 00:00:00,2017-12-03,487,135,27.72%,237000.0,123.00,155,2.74%,337,258000.0,$128.89,5062,5649,61.0,"$303,000.00",$134.43,0.90,0.99,61.0,11.60,3.06%,25.67%
Mecklenburg County, NC,2017-12-01,2017,December,2017-12-04 00:00:00,2017-12-10,332,102,30.72%,230000.0,119.10,114,2.16%,229,216900.0,$118.07,4912,5284,65.0,"$308,950.00",$134.93,0.98,0.98,62.5,15.92,2.32%,22.29%
Mecklenburg County, NC,2017-12-01,2017,December,2017-12-11 00:00:00,2017-12-17,410,118,28.78%,255357.5,123.60,86,1.67%,244,249950.0,$128.41,4682,5154,68.0,"$309,900.00",$135.22,0.97,0.98,62.0,12.57,1.84%,27.07%
Mecklenburg County, NC,2017-12-01,2017,December,2017-12-18 00:00:00,2017-12-24,391,110,28.13%,250000.0,125.84,50,1.02%,204,223400.0,$116.92,4451,4886,72.0,"$309,900.00",$135.40,0.99,0.99,60.0,12.50,1.12%,25.58%
Mecklenburg County, NC,2017-12-01,2017,December,2017-12-25 00:00:00,2017-12-31,371,116,31.27%,263000.0,120.00,40,0.87%,153,254900.0,$124.86,4221,4603,74.0,"$310,000.00",$135.58,0.99,0.98,71.0,12.41,0.95%,18.87%
Mecklenburg County, NC,2018-01-01,2018,January,2018-01-08 00:00:00,2018-01-14,268,75,27.99%,230000.0,122.07,108,2.35%,346,259900.0,$130.60,4295,4592,73.0,"$310,000.00",$136.46,0.95,0.98,68.5,17.13,2.51%,22.76%
Mecklenburg County, NC,2018-01-01,2018,January,2018-01-15 00:00:00,2018-01-21,208,67,32.21%,251081.5,128.97,81,1.76%,321,259000.0,$137.85,4352,4608,74.0,"$312,000.00",$137.23,0.96,0.99,76.5,22.15,1.86%,25.00%
