Year/Month,Year,Month,Zip Code,City,State,Median Listing Price,Average Listing Price,Active Listing Count,Median Days on Market,New Listing Count,Price Increased Count,Price Reduced Count,Pending Listing Count,Median Price per Square Foot (List Price),Median Square Feet,Total Listing Count,Pending Ratio
201702,2017,February,28278,charlotte, nc,"$372,400.00","$491,266.74",188,56.0,76,16,20,40,$122.84,"3,097.5",228,0.212765957
201702,2017,February,28204,charlotte, nc,"$557,000.00","$569,146.49",18,22.5,12,0,4,12,$252.19,"1,738.0",30,0.666666667
201702,2017,February,28262,charlotte, nc,"$224,950.00","$244,114.12",36,47.5,28,0,12,31,$95.16,"2,409.0",67,0.8611111109999999
201702,2017,February,28215,charlotte, nc,"$164,950.00","$173,608.14",79,52.5,60,4,8,96,$95.99,"1,497.5",175,1.215189873
201702,2017,February,28208,charlotte, nc,"$115,000.00","$181,034.82",70,90.5,28,0,8,50,$100.26,"1,177.0",120,0.7142857140000001
201701,2017,January,28214,charlotte, nc,"$215,195.00","$270,963.39",123,75.5,76,16,16,95,$107.87,"2,002.0",218,0.772357724
201701,2017,January,28211,charlotte, nc,"$723,200.00","$995,668.11",110,95.5,52,0,20,40,$232.47,"3,252.0",150,0.363636364
201701,2017,January,28204,charlotte, nc,"$492,500.00","$507,623.64",15,70.0,12,0,0,15,$242.78,"1,589.5",30,1.0
201701,2017,January,28215,charlotte, nc,"$165,900.00","$177,149.94",86,66.5,60,12,12,75,$94.95,"1,658.5",161,0.872093023
201701,2017,January,28270,charlotte, nc,"$534,950.00","$600,222.99",81,93.5,36,4,20,42,$149.16,"3,523.0",123,0.518518519
201701,2017,January,28208,charlotte, nc,"$107,500.00","$176,057.61",83,73.0,32,8,16,42,$94.02,"1,178.5",125,0.506024096
201701,2017,January,28227,charlotte, nc,"$319,000.00","$326,179.07",109,81.5,64,4,24,73,$108.78,"2,857.0",182,0.669724771
201701,2017,January,28269,charlotte, nc,"$229,700.00","$233,793.43",115,46.0,68,0,24,109,$98.83,"2,324.0",224,0.947826087
201701,2017,January,28213,charlotte, nc,"$184,000.00","$201,921.57",54,51.0,44,8,12,56,$87.56,"1,837.0",110,1.037037037
201701,2017,January,28207,charlotte, nc,"$1,237,500.00","$1,418,112.96",61,136.5,20,0,8,27,$328.37,"3,571.0",88,0.44262295100000004
201701,2017,January,28226,charlotte, nc,"$575,000.00","$785,400.96",98,93.0,68,0,20,57,$170.08,"3,252.0",155,0.581632653
201701,2017,January,28203,charlotte, nc,"$469,000.00","$548,863.78",52,101.5,28,0,8,108,$274.63,"1,780.0",160,2.076923077
201701,2017,January,28209,charlotte, nc,"$616,999.50","$638,665.78",70,60.0,48,0,8,45,$244.04,"2,280.0",115,0.642857143
201701,2017,January,28277,charlotte, nc,"$493,400.00","$531,528.34",151,82.0,92,12,44,100,$150.10,"3,219.0",251,0.662251656
201701,2017,January,28202,charlotte, nc,"$365,750.00","$447,628.74",75,69.5,40,0,12,42,$328.45,"1,115.0",117,0.56
201701,2017,January,28216,charlotte, nc,"$199,495.00","$262,742.86",64,57.0,40,0,16,57,$99.50,"1,960.5",121,0.890625
201701,2017,January,28210,charlotte, nc,"$379,250.00","$728,734.16",97,88.0,52,4,16,61,$212.30,"1,961.5",158,0.628865979
201701,2017,January,28273,charlotte, nc,"$218,500.00","$220,111.68",35,64.5,16,4,12,52,$99.26,"2,181.0",87,1.4857142859999999
201701,2017,January,28206,charlotte, nc,"$164,000.00","$201,393.28",13,86.5,4,0,0,27,$134.20,"1,300.0",40,2.076923077
201701,2017,January,28278,charlotte, nc,"$375,950.00","$491,631.89",169,78.5,108,20,16,35,$122.84,"3,146.0",204,0.207100592
201701,2017,January,28205,charlotte, nc,"$312,400.00","$371,192.67",75,66.0,48,0,24,69,$202.99,"1,614.0",144,0.92
201701,2017,January,28217,charlotte, nc,"$174,465.00","$310,523.95",16,82.0,20,0,0,16,$103.97,"1,568.0",32,1.0
201701,2017,January,28262,charlotte, nc,"$229,450.00","$246,213.16",45,54.5,28,0,8,37,$91.93,"2,409.0",82,0.8222222220000001
201612,2016,December,28217,charlotte, nc,"$152,500.00","$322,958.33",17,127.0,4,0,4,19,$92.14,"1,588.5",36,1.117647059
201612,2016,December,28273,charlotte, nc,"$222,500.00","$225,742.90",40,50.5,24,0,4,60,$101.51,"2,173.0",100,1.5
201612,2016,December,28269,charlotte, nc,"$225,000.00","$227,655.85",118,57.0,64,4,16,114,$96.73,"2,212.0",232,0.966101695
201612,2016,December,28205,charlotte, nc,"$294,499.50","$345,077.42",84,57.5,24,0,16,69,$195.75,"1,577.0",153,0.8214285709999999
201612,2016,December,28227,charlotte, nc,"$315,000.00","$329,601.58",119,65.5,32,0,12,88,$108.65,"2,909.5",207,0.739495798
201612,2016,December,28213,charlotte, nc,"$187,500.00","$201,320.66",56,55.0,28,4,12,65,$89.67,"1,935.0",121,1.160714286
201612,2016,December,28211,charlotte, nc,"$650,000.00","$960,304.42",121,84.0,12,0,20,40,$220.73,"3,171.0",161,0.330578512
201612,2016,December,28202,charlotte, nc,"$370,000.00","$454,870.65",83,82.5,16,0,8,38,$326.80,"1,148.0",121,0.457831325
201612,2016,December,28204,charlotte, nc,"$462,500.00","$443,487.44",19,68.5,4,0,0,12,$235.88,"1,462.0",31,0.6315789470000001
201612,2016,December,28210,charlotte, nc,"$382,000.00","$726,239.46",105,70.5,28,0,16,62,$210.58,"1,997.5",167,0.59047619
201612,2016,December,28206,charlotte, nc,"$199,999.00","$220,432.35",14,58.5,0,0,4,28,$156.42,"1,300.0",42,2.0
201612,2016,December,28207,charlotte, nc,"$1,225,000.00","$1,409,373.93",64,131.5,0,0,8,27,$323.12,"3,456.5",91,0.421875
201612,2016,December,28208,charlotte, nc,"$116,900.00","$180,827.99",96,59.5,32,0,8,48,$95.92,"1,236.0",144,0.5
201612,2016,December,28203,charlotte, nc,"$497,560.00","$562,567.74",58,80.5,8,0,4,112,$275.99,"2,006.0",170,1.9310344830000001
201612,2016,December,28215,charlotte, nc,"$161,000.00","$173,350.96",101,48.0,24,12,12,102,$94.61,"1,530.0",203,1.00990099
201612,2016,December,28214,charlotte, nc,"$211,450.00","$265,936.45",132,87.0,40,8,12,95,$107.87,"2,085.0",227,0.71969697
201612,2016,December,28209,charlotte, nc,"$611,500.00","$654,956.26",64,63.5,16,0,16,43,$241.35,"2,354.0",107,0.671875
201612,2016,December,28226,charlotte, nc,"$599,900.00","$787,565.13",103,102.5,16,0,12,61,$169.48,"3,316.5",164,0.59223301
201612,2016,December,28278,charlotte, nc,"$375,912.50","$501,181.62",171,91.0,24,8,36,39,$121.85,"3,205.0",210,0.228070175
201612,2016,December,28216,charlotte, nc,"$193,490.00","$250,675.55",76,44.5,28,0,12,76,$99.52,"1,895.0",152,1.0
201612,2016,December,28270,charlotte, nc,"$496,950.00","$569,169.83",103,87.0,12,0,16,38,$147.74,"3,509.5",141,0.368932039
201612,2016,December,28277,charlotte, nc,"$461,000.00","$502,551.71",171,79.5,36,0,36,101,$146.77,"3,084.0",272,0.590643275
201612,2016,December,28262,charlotte, nc,"$222,000.00","$245,479.98",46,51.5,16,0,12,41,$92.52,"2,476.0",87,0.891304348
201611,2016,November,28207,charlotte, nc,"$1,209,500.00","$1,336,844.43",82,105.0,12,0,8,32,$320.74,"3,426.0",114,0.39024390200000003
201611,2016,November,28206,charlotte, nc,"$194,999.50","$230,724.70",15,29.0,8,0,0,32,$152.82,"1,348.5",47,2.133333333
201611,2016,November,28216,charlotte, nc,"$182,500.00","$258,070.05",75,67.0,36,0,16,85,$103.12,"1,876.5",160,1.133333333
201611,2016,November,28212,charlotte, nc,"$138,950.00","$159,278.89",16,15.0,20,0,4,43,$83.48,"1,631.0",59,2.6875
201611,2016,November,28262,charlotte, nc,"$200,000.00","$234,998.09",52,38.5,20,4,12,39,$93.84,"2,418.0",91,0.75
201611,2016,November,28269,charlotte, nc,"$234,900.00","$236,174.71",132,51.0,56,8,36,150,$97.13,"2,473.0",282,1.136363636
201611,2016,November,28273,charlotte, nc,"$200,950.00","$215,915.16",48,40.5,28,0,12,64,$98.33,"2,146.0",112,1.333333333
201611,2016,November,28202,charlotte, nc,"$351,890.00","$426,101.44",99,68.0,32,0,16,31,$319.85,"1,134.0",130,0.313131313
201611,2016,November,28217,charlotte, nc,"$132,450.00","$251,287.79",27,46.0,16,0,0,23,$88.30,"1,255.0",50,0.851851852
201611,2016,November,28204,charlotte, nc,"$435,000.00","$411,750.00",24,50.5,4,0,4,9,$235.17,"1,581.0",33,0.375
201611,2016,November,28205,charlotte, nc,"$314,900.00","$352,911.80",101,45.0,44,4,48,79,$203.48,"1,595.5",180,0.782178218
201611,2016,November,28209,charlotte, nc,"$570,000.00","$645,680.34",80,64.0,36,0,16,67,$242.97,"2,108.5",147,0.8375
201611,2016,November,28277,charlotte, nc,"$435,000.00","$506,576.84",236,63.0,80,4,72,137,$147.07,"3,073.0",373,0.580508475
201611,2016,November,28227,charlotte, nc,"$327,819.00","$331,619.25",142,59.0,56,0,40,103,$109.53,"2,951.5",245,0.725352113
201611,2016,November,28214,charlotte, nc,"$214,950.00","$272,613.30",153,77.5,52,16,36,121,$106.86,"2,124.5",274,0.790849673
201611,2016,November,28278,charlotte, nc,"$375,000.00","$505,823.36",183,80.0,48,24,32,50,$121.98,"3,228.5",233,0.273224044
201611,2016,November,28215,charlotte, nc,"$169,450.00","$187,873.80",101,47.0,72,4,28,134,$92.67,"1,683.0",235,1.326732673
201611,2016,November,28210,charlotte, nc,"$377,000.00","$702,651.18",132,57.5,36,12,36,82,$201.66,"2,046.0",214,0.621212121
201611,2016,November,28203,charlotte, nc,"$493,500.00","$553,572.33",79,51.5,16,0,20,114,$274.53,"1,966.0",193,1.443037975
201611,2016,November,28226,charlotte, nc,"$560,000.00","$727,757.84",141,84.0,32,0,44,61,$168.14,"3,237.5",202,0.432624113
201611,2016,November,28208,charlotte, nc,"$119,500.00","$188,693.94",95,44.5,36,0,24,46,$97.66,"1,276.5",141,0.48421052600000003
201611,2016,November,28213,charlotte, nc,"$180,000.00","$199,547.83",73,51.0,36,4,12,63,$90.05,"1,945.0",136,0.863013699
201611,2016,November,28211,charlotte, nc,"$624,900.00","$969,240.78",142,70.5,32,0,20,54,$216.64,"3,095.0",196,0.38028169
201611,2016,November,28270,charlotte, nc,"$489,950.00","$558,657.86",123,68.5,24,0,32,59,$146.99,"3,515.0",182,0.47967479700000004
201610,2016,October,28208,charlotte, nc,"$120,000.00","$191,533.88",82,49.0,48,8,24,46,$100.98,"1,255.0",128,0.56097561
201610,2016,October,28277,charlotte, nc,"$449,000.00","$520,356.74",251,56.0,108,12,92,159,$145.32,"3,095.0",410,0.633466135
201610,2016,October,28214,charlotte, nc,"$199,900.00","$255,278.40",156,66.0,72,24,24,126,$101.97,"2,090.0",282,0.807692308
201610,2016,October,28206,charlotte, nc,"$215,000.00","$212,268.68",18,25.0,16,0,4,29,$152.85,"1,412.0",47,1.611111111
201610,2016,October,28211,charlotte, nc,"$675,000.00","$966,286.78",156,79.0,44,0,48,58,$219.71,"3,133.0",214,0.37179487200000005
201610,2016,October,28217,charlotte, nc,"$143,900.00","$229,742.25",22,73.0,16,0,8,19,$92.66,"1,426.0",41,0.8636363640000001
