County,State,Year,Month,Period Begin,Period End,Homes Sold,Homes Sold with Price Drop,Homes Sold with Price Drop (%),Median Sale Price,Median Sales Price per Sqft,Median Days to Close,Price Drops,Listings with Price Drop (%),New Listings,Median New List Price,Median New Listing Price per Sqft,Inventory,Active Listings,Age of Inventory,Median List Price,Median List Price per Sqft,Average Offer to List,Average Sale to List Ratio,Median Days on Market,Months of Supply,Price Drops of Inventory (%),Homes Sold Above List (%)
Mecklenburg County, NC,2017,August,2017-08-07 00:00:00,2017-08-13,392,87,22.19%,"$225,500.00",119.0784608,0.0,199,3.00%,448,223950.0,$116.99,6193,6636,48.0,"$295,500.00",$128.70,0.97,0.99,49.0,16.93,3.21%,32.65%
Mecklenburg County, NC,2017,August,2017-08-14 00:00:00,2017-08-20,405,82,20.25%,"$237,900.00",118.42105259999998,0.0,237,3.56%,473,255000.0,$126.60,6212,6653,50.0,"$295,700.00",$128.87,0.96,0.99,53.5,16.43,3.82%,29.38%
Mecklenburg County, NC,2017,August,2017-08-21 00:00:00,2017-08-27,422,102,24.17%,"$233,250.00",120.03840679999999,0.0,220,3.30%,456,246950.0,$122.48,6193,6662,50.0,"$297,500.00",$128.99,1.00,0.99,54.0,15.79,3.55%,27.49%
Mecklenburg County, NC,2017,August,2017-08-28 00:00:00,2017-09-03,584,124,21.23%,"$236,750.00",119.5114399,0.0,223,3.34%,484,240000.0,$119.68,6010,6668,51.0,"$299,000.00",$128.79,0.96,0.99,52.0,11.42,3.71%,30.31%
Mecklenburg County, NC,2017,September,2017-09-11 00:00:00,2017-09-17,409,102,24.94%,"$240,500.00",118.5185185,0.0,217,3.33%,463,259900.0,$133.03,6067,6523,52.0,"$299,900.00",$131.08,0.98,0.99,55.0,15.95,3.58%,24.21%
Mecklenburg County, NC,2017,September,2017-09-18 00:00:00,2017-09-24,373,90,24.13%,"$235,000.00",118.01935959999999,0.0,262,4.05%,413,249900.0,$126.16,6059,6474,54.0,"$300,000.00",$131.54,0.97,0.99,57.0,17.36,4.32%,27.61%
Mecklenburg County, NC,2017,September,2017-09-25 00:00:00,2017-10-01,636,141,22.17%,"$228,047.00",114.72602739999999,0.0,238,3.65%,462,239900.0,$130.27,5837,6517,53.0,"$299,994.50",$132.19,0.94,0.99,61.0,10.25,4.08%,25.79%
Mecklenburg County, NC,2017,October,2017-10-02 00:00:00,2017-10-08,322,89,27.64%,"$236,250.00",118.73796840000001,0.0,230,3.68%,430,240000.0,$123.55,5887,6251,53.0,"$300,000.00",$133.26,0.94,0.99,56.5,19.41,3.91%,27.95%
Mecklenburg County, NC,2017,October,2017-10-09 00:00:00,2017-10-15,319,87,27.27%,"$225,000.00",117.8918169,0.0,209,3.34%,385,260000.0,$126.35,5904,6265,55.0,"$304,263.00",$133.42,0.93,0.99,57.0,19.64,3.54%,24.14%
Mecklenburg County, NC,2017,October,2017-10-16 00:00:00,2017-10-22,403,98,24.32%,"$225,000.00",120.5574913,0.0,212,3.37%,393,250000.0,$130.73,5820,6284,55.0,"$305,000.00",$134.17,0.95,0.99,59.0,15.59,3.64%,30.02%
Mecklenburg County, NC,2017,October,2017-10-23 00:00:00,2017-10-29,417,113,27.10%,"$234,000.00",123.10213200000001,0.0,242,3.93%,348,245000.0,$126.32,5694,6164,58.0,"$308,950.00",$134.61,0.97,0.99,62.0,14.78,4.25%,26.38%
Mecklenburg County, NC,2017,November,2017-11-13 00:00:00,2017-11-19,462,131,28.35%,"$245,000.00",125.5839068,0.0,202,3.41%,352,237500.0,$124.61,5416,5930,58.0,"$300,000.00",$134.17,0.90,0.98,61.0,12.84,3.73%,23.81%
Mecklenburg County, NC,2017,November,2017-11-27 00:00:00,2017-12-03,487,135,27.72%,"$237,000.00",122.99664550000001,0.0,155,2.74%,337,258000.0,$128.89,5062,5649,61.0,"$303,000.00",$134.43,0.90,0.99,61.0,11.60,3.06%,25.67%
Mecklenburg County, NC,2017,December,2017-12-04 00:00:00,2017-12-10,332,102,30.72%,"$230,000.00",119.0966105,0.0,114,2.16%,229,216900.0,$118.07,4912,5284,65.0,"$308,950.00",$134.93,0.98,0.98,62.5,15.92,2.32%,22.29%
Mecklenburg County, NC,2017,December,2017-12-11 00:00:00,2017-12-17,410,118,28.78%,"$255,357.50",123.5974499,0.0,86,1.67%,244,249950.0,$128.41,4682,5154,68.0,"$309,900.00",$135.22,0.97,0.98,62.0,12.57,1.84%,27.07%
Mecklenburg County, NC,2017,December,2017-12-18 00:00:00,2017-12-24,391,110,28.13%,"$250,000.00",125.8399511,0.0,50,1.02%,204,223400.0,$116.92,4451,4886,72.0,"$309,900.00",$135.40,0.99,0.99,60.0,12.50,1.12%,25.58%
Mecklenburg County, NC,2017,December,2017-12-25 00:00:00,2017-12-31,371,116,31.27%,"$263,000.00",120.0,0.0,40,0.87%,153,254900.0,$124.86,4221,4603,74.0,"$310,000.00",$135.58,0.99,0.98,71.0,12.41,0.95%,18.87%
Mecklenburg County, NC,2018,January,2018-01-08 00:00:00,2018-01-14,268,75,27.99%,"$230,000.00",122.0703125,0.0,108,2.35%,346,259900.0,$130.60,4295,4592,73.0,"$310,000.00",$136.46,0.95,0.98,68.5,17.13,2.51%,22.76%
Mecklenburg County, NC,2018,January,2018-01-15 00:00:00,2018-01-21,208,67,32.21%,"$251,081.50",128.9702457,0.0,81,1.76%,321,259000.0,$137.85,4352,4608,74.0,"$312,000.00",$137.23,0.96,0.99,76.5,22.15,1.86%,25.00%
Mecklenburg County, NC,2018,January,2018-01-22 00:00:00,2018-01-28,246,68,27.64%,"$235,000.00",120.99586289999999,0.0,125,2.63%,404,249450.0,$129.19,4374,4749,73.0,"$305,000.00",$135.92,0.95,0.98,67.5,19.30,2.86%,22.76%
Mecklenburg County, NC,2018,January,2018-01-29 00:00:00,2018-02-04,319,96,30.09%,"$227,000.00",119.047619,0.0,122,2.55%,417,264575.0,$132.69,4294,4776,67.0,"$305,880.50",$136.83,0.95,0.99,74.0,14.97,2.84%,23.82%
Mecklenburg County, NC,2018,February,2018-02-05 00:00:00,2018-02-11,223,57,25.56%,"$243,600.00",117.25293130000001,0.0,156,3.28%,465,260675.0,$132.23,4376,4754,63.0,"$309,900.00",$138.14,0.98,0.99,66.0,21.32,3.56%,29.15%
Mecklenburg County, NC,2018,February,2018-02-12 00:00:00,2018-02-18,285,70,24.56%,"$240,000.00",121.5401695,0.0,122,2.53%,462,274950.0,$135.77,4424,4827,58.0,"$314,000.00",$139.28,0.98,0.99,58.0,16.94,2.76%,29.12%
Mecklenburg County, NC,2018,February,2018-02-19 00:00:00,2018-02-25,266,73,27.44%,"$249,500.00",124.64420619999999,0.0,160,3.27%,479,265900.0,$137.08,4488,4899,50.0,"$319,000.00",$140.92,0.99,0.99,62.0,18.42,3.57%,30.08%
Mecklenburg County, NC,2018,February,2018-02-26 00:00:00,2018-03-04,479,101,21.09%,"$251,000.00",127.12170459999999,0.0,151,3.01%,546,282250.0,$135.91,4438,5017,47.0,"$319,000.00",$141.48,0.99,0.99,49.0,10.47,3.40%,27.56%
Mecklenburg County, NC,2018,March,2018-03-05 00:00:00,2018-03-11,308,64,20.78%,"$249,750.00",129.87012990000002,0.0,148,2.96%,573,275000.0,$133.23,4601,5006,44.0,"$325,000.00",$141.91,0.98,0.99,49.0,16.25,3.22%,35.06%
Mecklenburg County, NC,2018,March,2018-03-12 00:00:00,2018-03-18,403,97,24.07%,"$250,000.00",126.4676756,0.0,164,3.19%,557,279000.0,$134.34,4654,5140,40.0,"$324,900.00",$141.80,0.94,0.99,51.0,12.75,3.52%,28.54%
Mecklenburg County, NC,2018,March,2018-03-19 00:00:00,2018-03-25,390,83,21.28%,"$245,550.00",133.82688290000002,0.0,188,3.63%,540,285000.0,$136.90,4678,5177,39.0,"$325,000.00",$142.48,0.99,0.99,48.0,13.27,4.02%,30.77%
Mecklenburg County, NC,2018,March,2018-03-26 00:00:00,2018-04-01,514,119,23.15%,"$265,000.00",130.1670564,0.0,158,3.06%,494,279900.0,$130.39,4637,5161,39.0,"$329,790.00",$142.12,0.99,0.99,47.5,10.04,3.41%,28.60%
Mecklenburg County, NC,2018,April,2018-04-02 00:00:00,2018-04-08,355,65,18.31%,"$242,900.00",126.8867925,0.0,171,3.29%,579,289900.0,$139.10,4738,5199,38.0,"$329,900.00",$142.94,0.99,0.99,43.0,14.65,3.61%,29.58%
Mecklenburg County, NC,2018,April,2018-04-09 00:00:00,2018-04-15,385,76,19.74%,"$259,000.00",128.2168114,0.0,210,3.94%,599,300000.0,$138.05,4840,5331,38.0,"$330,000.00",$143.53,1.01,0.99,46.0,13.85,4.34%,28.57%
Mecklenburg County, NC,2018,April,2018-04-16 00:00:00,2018-04-22,428,76,17.76%,"$250,000.00",125.8640965,0.0,189,3.54%,514,289900.0,$137.52,4874,5340,39.0,"$330,000.00",$144.08,0.99,0.99,44.0,12.48,3.88%,29.21%
Mecklenburg County, NC,2018,April,2018-04-23 00:00:00,2018-04-29,489,89,18.20%,"$250,000.00",127.75551100000001,0.0,197,3.65%,530,279450.0,$139.07,4897,5397,41.0,"$330,000.00",$144.89,0.98,0.99,44.0,11.04,4.02%,32.52%
Mecklenburg County, NC,2018,May,2018-05-07 00:00:00,2018-05-13,409,92,22.49%,"$255,000.00",131.7193676,0.0,271,4.89%,585,274105.0,$133.20,5078,5545,39.0,"$329,925.00",$146.00,0.98,0.99,41.0,13.56,5.34%,33.99%
Mecklenburg County, NC,2018,May,2018-05-14 00:00:00,2018-05-20,471,113,23.99%,"$266,000.00",134.47432759999998,0.0,264,4.64%,614,279000.0,$139.70,5168,5689,39.0,"$329,850.00",$146.01,0.99,0.99,42.0,12.08,5.11%,31.63%
Mecklenburg County, NC,2018,May,2018-05-28 00:00:00,2018-06-03,593,134,22.60%,"$250,990.00",132.44223829999999,0.0,250,4.43%,472,269000.0,$136.27,5072,5648,39.0,"$329,900.00",$145.34,0.97,0.99,43.0,9.52,4.93%,29.68%
Mecklenburg County, NC,2018,June,2018-06-04 00:00:00,2018-06-10,426,85,19.95%,"$262,000.00",127.1877781,0.0,255,4.55%,543,274900.0,$132.15,5147,5605,40.0,"$330,000.00",$144.82,1.01,0.99,42.0,13.16,4.95%,31.69%
Mecklenburg County, NC,2018,June,2018-06-11 00:00:00,2018-06-17,471,102,21.66%,"$278,000.00",133.9731286,0.0,260,4.57%,553,275000.0,$136.74,5227,5693,41.0,"$331,115.00",$144.52,0.98,0.99,41.0,12.09,4.97%,28.66%
Mecklenburg County, NC,2018,June,2018-06-18 00:00:00,2018-06-24,448,94,20.98%,"$271,000.00",133.0754352,0.0,271,4.70%,544,262450.0,$131.94,5219,5762,44.0,"$329,900.00",$144.43,0.99,0.99,44.0,12.86,5.19%,34.60%
Mecklenburg County, NC,2018,June,2018-06-25 00:00:00,2018-07-01,678,141,20.80%,"$266,000.00",133.87794,0.0,240,4.20%,505,254900.0,$133.04,5116,5715,44.0,"$327,492.50",$144.55,0.98,0.99,43.0,8.43,4.69%,32.60%
Mecklenburg County, NC,2018,July,2018-07-02 00:00:00,2018-07-08,311,75,24.12%,"$252,000.00",133.61169099999998,0.0,191,3.47%,387,259900.0,$130.41,5108,5498,46.5,"$329,000.00",$144.78,0.99,0.99,46.0,17.68,3.74%,26.37%
Mecklenburg County, NC,2018,July,2018-07-09 00:00:00,2018-07-15,473,109,23.04%,"$253,000.00",130.0326442,0.0,300,5.29%,574,259900.0,$136.08,5152,5672,45.0,"$325,000.00",$144.59,0.98,0.99,47.0,11.99,5.82%,29.81%
Mecklenburg County, NC,2018,July,2018-07-16 00:00:00,2018-07-22,464,105,22.63%,"$251,000.00",130.5560121,0.0,294,5.16%,552,261000.0,$130.75,5199,5698,45.0,"$325,000.00",$144.23,0.97,0.99,44.0,12.28,5.65%,28.02%
Mecklenburg County, NC,2018,July,2018-07-23 00:00:00,2018-07-29,426,113,26.53%,"$245,000.00",130.2039498,0.0,297,5.27%,441,269000.0,$133.33,5186,5631,46.0,"$324,900.00",$143.84,0.98,0.99,47.0,13.22,5.73%,25.35%
Mecklenburg County, NC,2018,July,2018-07-30 00:00:00,2018-08-05,512,143,27.93%,"$243,995.00",130.8377087,0.0,295,5.19%,508,245000.0,$130.58,5151,5687,47.0,"$321,900.00",$143.59,0.98,0.99,46.0,11.11,5.73%,29.69%
Mecklenburg County, NC,2018,August,2018-08-06 00:00:00,2018-08-12,365,89,24.38%,"$252,400.00",130.0,0.0,256,4.53%,501,247000.0,$132.05,5250,5645,47.0,"$320,000.00",$143.18,0.97,0.99,46.0,15.47,4.88%,25.48%
Mecklenburg County, NC,2018,August,2018-08-13 00:00:00,2018-08-19,398,109,27.39%,"$265,500.00",131.5916105,0.0,312,5.48%,452,264900.0,$130.68,5242,5692,48.0,"$320,000.00",$143.02,0.97,0.99,47.5,14.30,5.95%,28.14%
Mecklenburg County, NC,2018,August,2018-08-20 00:00:00,2018-08-26,441,129,29.25%,"$252,210.00",129.2016807,0.0,264,4.68%,407,279900.0,$140.46,5178,5642,48.0,"$321,900.00",$143.75,0.98,0.99,45.0,12.79,5.10%,24.26%
Mecklenburg County, NC,2018,August,2018-08-27 00:00:00,2018-09-02,500,146,29.20%,"$269,200.00",131.98073109999999,0.0,262,4.67%,438,250000.0,$135.73,5108,5607,50.0,"$319,920.00",$144.25,0.96,0.98,48.0,11.21,5.13%,25.40%
Mecklenburg County, NC,2018,September,2018-09-10 00:00:00,2018-09-16,311,97,31.19%,"$254,000.00",131.2686544,0.0,172,3.14%,319,259900.0,$134.82,5100,5471,53.0,"$324,749.50",$144.91,0.99,0.99,52.0,17.59,3.37%,26.05%
Mecklenburg County, NC,2018,September,2018-09-24 00:00:00,2018-09-30,555,152,27.39%,"$250,000.00",125.72087659999998,0.0,277,5.02%,421,279500.0,$133.06,5000,5521,54.0,"$321,900.00",$144.82,0.98,0.99,46.0,9.95,5.54%,27.57%
Mecklenburg County, NC,2018,October,2018-10-01 00:00:00,2018-10-07,316,106,33.54%,"$235,000.00",126.1029162,0.0,307,5.67%,426,259950.0,$134.16,5023,5418,55.0,"$320,000.00",$145.30,0.98,0.98,50.0,17.15,6.11%,25.63%
Mecklenburg County, NC,2018,October,2018-10-08 00:00:00,2018-10-14,306,98,32.03%,"$257,000.00",128.537014,0.0,240,4.41%,421,259900.0,$135.89,5044,5440,57.0,"$320,000.00",$145.63,1.00,0.98,50.0,17.78,4.76%,24.84%
Mecklenburg County, NC,2018,October,2018-10-15 00:00:00,2018-10-21,339,101,29.79%,"$253,450.00",126.8349971,0.0,311,5.67%,444,265000.0,$135.00,5096,5483,54.0,"$319,900.00",$145.38,0.98,0.98,58.0,16.17,6.10%,22.12%
Mecklenburg County, NC,2018,October,2018-10-22 00:00:00,2018-10-28,291,90,30.93%,"$248,000.00",126.953125,0.0,254,4.65%,372,260000.0,$138.30,5100,5457,57.0,"$319,000.00",$145.84,0.99,0.98,48.5,18.75,4.98%,25.43%
Mecklenburg County, NC,2018,November,2018-11-12 00:00:00,2018-11-18,314,107,34.08%,"$259,218.50",135.93514030000003,0.0,241,4.50%,351,265000.0,$136.45,4938,5350,58.0,"$317,390.50",$146.11,0.99,0.98,54.0,17.04,4.88%,17.52%
Mecklenburg County, NC,2018,November,2018-11-26 00:00:00,2018-12-02,455,145,31.87%,"$243,000.00",128.4548565,0.0,201,3.88%,308,244950.0,$134.18,4692,5175,62.0,"$314,500.00",$146.09,0.98,0.98,53.0,11.37,4.28%,23.52%
Mecklenburg County, NC,2018,December,2018-12-03 00:00:00,2018-12-09,334,99,29.64%,"$239,950.00",129.51615959999998,0.0,151,3.04%,279,259200.0,$140.98,4578,4968,65.0,"$315,000.00",$146.73,0.93,0.98,54.0,14.87,3.30%,20.06%
Mecklenburg County, NC,2018,December,2018-12-10 00:00:00,2018-12-16,344,115,33.43%,"$251,000.00",132.2657018,0.0,134,2.79%,225,250000.0,$137.55,4426,4799,67.0,"$315,000.00",$147.06,0.95,0.98,59.5,13.95,3.03%,17.15%
Mecklenburg County, NC,2018,December,2018-12-17 00:00:00,2018-12-23,417,157,37.65%,"$256,000.00",131.3784247,0.0,98,2.10%,236,245000.0,$133.43,4252,4657,71.0,"$315,000.00",$146.78,0.95,0.98,58.0,11.17,2.30%,18.71%
Mecklenburg County, NC,2018,December,2018-12-24 00:00:00,2018-12-30,222,72,32.43%,"$248,500.00",123.936428,0.0,71,1.62%,124,249950.0,$130.18,4149,4375,75.0,"$319,700.00",$147.39,0.99,0.99,62.0,19.71,1.71%,22.52%
Mecklenburg County, NC,2018,December,2018-12-31 00:00:00,2019-01-06,213,74,34.74%,"$248,000.00",129.4316263,0.0,150,3.42%,244,245000.0,$134.08,4094,4388,78.0,"$319,000.00",$147.64,1.00,0.98,59.0,20.60,3.66%,15.02%
Mecklenburg County, NC,2019,January,2019-01-07 00:00:00,2019-01-13,225,91,40.44%,"$237,000.00",127.4509804,0.0,176,3.94%,377,263902.0,$138.33,4167,4465,76.0,"$314,900.00",$147.25,0.97,0.97,61.5,19.84,4.22%,16.00%
Mecklenburg County, NC,2019,January,2019-01-14 00:00:00,2019-01-20,244,84,34.43%,"$227,500.00",131.083443,0.0,179,3.96%,363,269000.0,$142.50,4178,4519,75.0,"$314,900.00",$147.82,1.00,0.98,65.5,18.52,4.28%,17.62%
Mecklenburg County, NC,2019,January,2019-01-21 00:00:00,2019-01-27,213,73,34.27%,"$232,000.00",127.1406331,0.0,218,4.78%,398,291500.0,$144.36,4274,4565,74.0,"$315,656.00",$148.69,0.97,0.98,58.0,21.43,5.10%,27.70%
Mecklenburg County, NC,2019,January,2019-01-28 00:00:00,2019-02-03,326,124,38.04%,"$252,500.00",129.94957970000002,0.0,182,3.83%,489,303000.0,$139.19,4347,4751,68.0,"$319,152.00",$148.65,1.00,0.98,69.0,14.57,4.19%,18.40%
Mecklenburg County, NC,2019,February,2019-02-04 00:00:00,2019-02-10,196,62,31.63%,"$240,200.00",126.952491,0.0,191,4.01%,430,299900.0,$144.69,4460,4763,66.0,"$319,900.00",$149.82,0.98,0.98,65.0,24.30,4.28%,15.31%
Mecklenburg County, NC,2019,February,2019-02-11 00:00:00,2019-02-17,318,119,37.42%,"$239,000.00",127.43537620000001,0.0,180,3.67%,452,269900.0,$141.90,4524,4900,59.0,"$319,900.00",$150.13,1.01,0.98,63.5,15.41,3.98%,23.27%
Mecklenburg County, NC,2019,February,2019-02-18 00:00:00,2019-02-24,269,97,36.06%,"$255,000.00",135.1351351,0.0,169,3.45%,377,316950.0,$154.32,4548,4893,51.0,"$325,000.00",$151.86,0.99,0.98,56.0,18.19,3.72%,18.22%
Mecklenburg County, NC,2019,February,2019-02-25 00:00:00,2019-03-03,498,163,32.73%,"$260,000.00",131.9105653,0.0,189,3.70%,564,285000.0,$145.08,4602,5102,46.0,"$325,000.00",$152.02,1.00,0.98,54.5,10.24,4.11%,21.49%
Mecklenburg County, NC,2019,March,2019-03-04 00:00:00,2019-03-10,306,99,32.35%,"$267,250.00",137.1419325,0.0,205,4.02%,515,288677.0,$145.63,4736,5104,44.0,"$325,000.00",$153.36,0.98,0.98,49.0,16.68,4.33%,21.57%
Mecklenburg County, NC,2019,March,2019-03-11 00:00:00,2019-03-17,388,120,30.93%,"$259,865.00",136.7616129,0.0,212,4.05%,509,317000.0,$147.39,4811,5229,44.0,"$329,000.00",$153.81,0.98,0.98,51.0,13.48,4.41%,24.23%
Mecklenburg County, NC,2019,March,2019-03-18 00:00:00,2019-03-24,330,104,31.52%,"$261,000.00",134.7124021,0.0,204,3.83%,517,297613.0,$141.18,4886,5321,45.0,"$329,900.00",$154.08,0.97,0.99,49.0,16.12,4.18%,24.24%
Mecklenburg County, NC,2019,March,2019-03-25 00:00:00,2019-03-31,550,174,31.64%,"$265,000.00",132.53853700000002,0.5,251,4.65%,530,310000.0,$150.22,4908,5403,44.0,"$334,000.00",$155.28,0.98,0.98,51.0,9.82,5.11%,21.64%
Mecklenburg County, NC,2019,April,2019-04-01 00:00:00,2019-04-07,399,121,30.33%,"$255,000.00",138.00397880000003,0.0,253,4.60%,597,300000.0,$145.66,5010,5496,41.0,"$335,000.00",$155.64,0.99,0.98,48.0,13.77,5.05%,27.07%
Mecklenburg County, NC,2019,April,2019-04-08 00:00:00,2019-04-14,369,95,25.75%,"$263,280.00",136.78696159999998,0.0,213,3.81%,591,299450.0,$143.01,5156,5588,43.0,"$339,900.00",$155.69,0.99,0.98,43.0,15.14,4.13%,25.75%
Mecklenburg County, NC,2019,April,2019-04-15 00:00:00,2019-04-21,362,96,26.52%,"$274,933.00",143.8937149,0.0,205,3.65%,468,285000.0,$142.81,5205,5613,44.0,"$339,000.00",$155.16,0.99,0.99,48.0,15.51,3.94%,24.31%
Mecklenburg County, NC,2019,April,2019-04-22 00:00:00,2019-04-28,444,119,26.80%,"$276,500.00",141.2516789,0.0,263,4.57%,560,299999.0,$149.45,5273,5761,44.0,"$339,900.00",$155.48,0.96,0.99,48.0,12.98,4.99%,25.90%
