region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,percent_homes_sold_above_list,percent_homes_sold_above_list_yoy,last_updated
2066,5,"Mecklenburg County, NC",county,8/7/2017,9/3/2017,4 weeks,1803,0.023850085,450,0.022727273,395,-0.091954023,98,-0.092592593,0.21961071,-0.026817957,233350,-0.002511355,119.26234,0.055115317,0,0,219,-0.035242291,0.03301935,0.001069067,1861,0.080092861,465,0.081395349,241475,0.078214114,121.4393183,0.039095762,6152,-0.072935503,26619,-0.066458582,6654,-0.066498316,49.7,-6,296925,0.079972721,128.8384328,0.060308077,371612.5,-0.3614217,363375,-0.37416577,0.971812844,-0.022774466,0.990738997,0.006222065,52.1,-10.9,15.1400675,-1.396156682,497,0.041928721,0.142880364,0.005598869,0.29958037,0.064996403,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,1/14/2019,2/10/2019,4 weeks,979,-0.017068273,244,-0.020080321,343,0.190972222,85,0.180555556,0.345919982,0.05714899,238050,-0.00468411,128.7815367,0.059349098,0,0,192,0.58677686,0.041443422,0.015878843,1680,0.04542626,420,0.047381546,290850,0.125471607,142.6830294,0.072895474,4314,-0.008047827,18598,-0.01530153,4649,-0.015251006,70.7,1.5,317402,0.029873609,148.7440538,0.08548754,356437.5,-0.015093949,350750,-0.012284839,0.986815653,0.027235332,0.980317009,-0.005050175,64.3,-6.7,19.70676418,0.26954001,476,0.050772627,0.178488642,0.06719869,0.197583779,-0.054257873,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,7/22/2019,8/18/2019,4 weeks,1831,0.076425632,457,0.075294118,566,0.246696035,141,0.247787611,0.309074258,0.043509244,273656.2,0.087129261,138.1201437,0.057109464,0,0,298,0.027586207,0.049553437,-0.001641581,2007,0.055205047,501,0.054736842,278950,0.087630373,139.8281025,0.062034637,5510,0.058190897,24076,0.062723461,6019,0.062864206,51.2,4.2,324969,0.010161641,150.2973493,0.048038927,356950,-0.272347365,352362.5,-0.264378914,0.99252648,0.016920922,0.983817065,-0.003596068,49,2.4,13.33442401,-0.188824164,578,0.082397004,0.216515426,-0.006261604,0.233203876,-0.038445545,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,7/23/2018,8/19/2018,4 weeks,1701,-0.051310653,425,-0.051339286,454,0.08353222,113,0.086538462,0.265565014,0.034248745,251723.7,0.053898681,130.6583172,0.103513965,0,0,290,0.213389121,0.051195018,0.015580972,1902,-0.020597322,475,-0.020618557,256475,0.048495069,131.6605859,0.073535847,5207,-0.161648688,22655,-0.155357542,5663,-0.155406413,47,-1.5,321700,0.08394053,143.4081745,0.113609907,490550,0.608492499,479000,0.615854944,0.975605558,-0.000766508,0.987413134,-0.003208893,46.6,-6.4,13.52324817,-1.626167243,534,0.057425743,0.222777031,0.068856567,0.271649421,-0.023007722,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,2/19/2018,3/18/2018,4 weeks,1456,-0.018206339,364,-0.016216216,335,-0.017595308,83,-0.023529412,0.233444759,0.002058942,250062.5,0.072424145,127.0259291,0.065462292,0,0,155,0.026490066,0.031057133,0.005934849,2155,0.019394513,538,0.018939394,275537.5,0.06026936,135.1396188,0.091988022,4545,-0.189695133,20062,-0.165508922,5015,-0.165557404,45.2,2.7,321975,0.109755022,141.527184,0.120571421,506000,0.169367652,481875,0.13355681,0.977509591,-0.007151243,0.990562943,0.00246774,52.7,-6.8,14.4746966,-1.965292209,585,0.057866184,0.137073707,0.029389628,0.303083786,0.026045398,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,12/9/2019,1/5/2020,4 weeks,1377,0.151337793,344,0.150501672,461,0.102870813,115,0.105769231,0.334953959,-0.010681863,267500,0.066268062,137.9736319,0.0674691,0,0,88,-0.221238938,0.019659134,-0.005185562,927,0.118214717,231,0.115942029,260348.7,0.051967069,143.3433506,0.071255237,4074,-0.036879433,17768,-0.024754377,4442,-0.024593764,68,-4.7,333887.8,0.052692678,158.2442358,0.07490817,275612.375,-0.094236947,270050,-0.086086552,0.97993196,0.005443691,0.980290314,-0.000677033,58.6,-1,14.5459672,-1.810681124,336,0.253731343,0.08664703,-0.020445169,0.222710374,0.039204885,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,2/27/2017,3/26/2017,4 weeks,1540,0.173780488,385,0.173780488,325,-0.079320113,81,-0.079545455,0.210940559,-0.058007489,233500,0.131435494,120.5265844,0.115541377,0,0,154,0.047619048,0.025168023,0.001962538,2188,0.021475257,547,0.022429907,262450,0.068498728,124.3735654,0.062230556,5727,-0.04534089,24571,-0.032790112,6142,-0.032908203,42.2,-10.3,291131.6,0.108618756,126.5904096,0.06288593,450225,-0.034818492,443850,0.006082359,0.980026405,0.027532316,0.988164776,0.009675472,54,-20.1,16.09058884,-3.527850818,561,0.007181329,0.1079099,0.00972687,0.289000378,0.080161893,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,2/13/2017,3/12/2017,4 weeks,1386,0.127746135,346,0.127035831,339,0.043076923,84,0.037037037,0.246790535,-0.017015608,224987.5,0.141127243,118.149769,0.124419421,0,0,145,-0.006849315,0.024748095,0.000427814,2056,0.136539525,514,0.137168142,256255,0.0650665,122.8993994,0.058874061,5496,-0.034942932,23488,-0.026040803,5872,-0.026040803,43.7,-16.3,289419.1,0.120227205,126.0612391,0.066981537,390212.5,-0.113042539,380125,-0.094929702,0.975137941,0.010453926,0.98677419,0.013005041,63,-17.8,17.2683126,-2.823713153,545,0.105476673,0.105895197,0.002997918,0.268270078,0.079185643,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,2/3/2020,3/1/2020,4 weeks,1415,0.104605777,353,0.103125,425,-0.036281179,106,-0.036363636,0.299753176,-0.044857924,274874.3,0.105911487,141.9366873,0.08881895,0,0,131,-0.28021978,0.029042923,-0.008061803,1697,-0.06911684,424,-0.068131868,308389.8,0.052749477,152.3234132,0.039783322,4117,-0.091771454,18098,-0.079357005,4524,-0.079365079,51,-4.5,338001.7,0.048229803,159.5532027,0.056949069,353122.5,-0.015240009,355750,0.000386657,0.978465322,-0.014727971,0.982858034,0.002615534,56.5,-3.2,13.77658374,-3.259515374,587,0.122370937,0.127520039,-0.03330061,0.220716065,0.025020765,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,10/26/2020,11/22/2020,4 weeks,1934,0.169286578,483,0.169491525,352,-0.371428571,88,-0.371428571,0.180972892,-0.155304111,311395.6,0.146955681,156.34481,0.125686467,0,0,133,-0.411504425,0.03082009,-0.011570558,1528,0.064808362,382,0.067039106,311350,0.098817717,162.0119293,0.107099424,3842,-0.208324748,17264,-0.188454849,4316,-0.188416698,43.7,-11.8,361223.7,0.088501543,177.0636753,0.130146543,491925,0.225447227,493750,0.242529097,1.012537343,0.022463324,0.997021361,0.015954904,39.1,-15.9,9.095421842,-4.244853953,518,0.099787686,0.138469547,-0.047806983,0.382752842,0.184743356,5/19/2021 14:41
